117,117 Raw,118,118 Raw,59,59 Raw,63,63 Raw,id
"Digital and Technologies, Life Sciences, Advanced Manufacturing","Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,HERAN Partners,HERAN Partners,"Pre-Revenue, Early Revenue, Revenue, Growth","Pre-Revenue, Early Revenue, Revenue, Growth",69319c189e24cd0435b60959
"Clean Energy Industries, Financial Services, Digital and Technologies, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Financial Services, Digital and Technologies, Life Sciences, Advanced Manufacturing",Angel Network,Angel Network,HERMESA,HERMESA,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c189e24cd0435b6095c
"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Defence and Security, Advanced Manufacturing",VC,VC,HG Ventures,HG Ventures,"Pre-Revenue, Early Revenue, Revenue, Growth","Pre-Revenue, Early Revenue, Revenue, Growth",69319c189e24cd0435b6095f
"Clean Energy Industries, Advanced Manufacturing","Clean Energy Industries, Advanced Manufacturing",Family Office,Family Office,HICO Investment Group,HICO Investment Group,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c189e24cd0435b60962
"Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,Hiro Capital,Hiro Capital,"Pre-Revenue, Early Revenue, Revenue, Growth","Pre-Revenue, Early Revenue, Revenue, Growth",69319c189e24cd0435b60965
"Advanced Manufacturing, Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences","Advanced Manufacturing, Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences",VC,VC,Hoxton Ventures,Hoxton Ventures,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c189e24cd0435b60968
"Digital and Technologies, Advanced Manufacturing","Digital and Technologies, Advanced Manufacturing",VC,VC,Impact Shakers Ventures,Impact Shakers Ventures,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c189e24cd0435b6096b
"Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,Impact X Capital Partners,Impact X Capital Partners,"Pre-Revenue, Early Revenue, Revenue, Growth","Pre-Revenue, Early Revenue, Revenue, Growth",69319c189e24cd0435b6096e
"Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,IP Group Plc,IP Group Plc,"Pre-Revenue, Early Revenue, Revenue, Growth","Pre-Revenue, Early Revenue, Revenue, Growth",69319c189e24cd0435b60971
"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,IQ Capital Partners LLP,IQ Capital Partners LLP,"Pre-Revenue, Early Revenue, Revenue, Growth","Pre-Revenue, Early Revenue, Revenue, Growth",69319c189e24cd0435b60974
"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,Jenson Funding Partners LLP,Jenson Funding Partners LLP,"Pre-Revenue, Early Revenue, Revenue, Growth","Pre-Revenue, Early Revenue, Revenue, Growth",69319c189e24cd0435b60977
"Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,Kelvin Capital Limited,Kelvin Capital Limited,"Pre-Revenue, Early Revenue, Revenue, Growth","Pre-Revenue, Early Revenue, Revenue, Growth",69319c189e24cd0435b6097a
"Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,Kero Limited,Kero Limited,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c189e24cd0435b6097d
"Digital and Technologies, Life Sciences, Advanced Manufacturing","Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,KHP VENTURES,KHP VENTURES,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b60980
"Life Sciences, Advanced Manufacturing","Life Sciences, Advanced Manufacturing",Not-for-Profit VC,Not-for-Profit VC,Kidney Research,Kidney Research,,,69319c199e24cd0435b60983
"Digital and Technologies, Life Sciences, Advanced Manufacturing","Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,LCR Ventures Limited,LCR Ventures Limited,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c199e24cd0435b60986
"Digital and Technologies, Life Sciences, Creative Industries","Digital and Technologies, Life Sciences, Creative Industries",Angel Network,Angel Network,Lifted Ventures,Lifted Ventures,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b60989
"Digital and Technologies, Advanced Manufacturing, Creative Industries, Financial Services","Digital and Technologies, Advanced Manufacturing, Creative Industries, Financial Services",VC,VC,London Venture Partners,London Venture Partners,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c199e24cd0435b6098c
"Clean Energy Industries, Creative Industries, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Life Sciences, Advanced Manufacturing",VC,VC,Longwall Venture Partners LLP,Longwall Venture Partners LLP,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b6098f
"Digital and Technologies, Life Sciences, Advanced Manufacturing","Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,MACMILLAN CANCER SUPPORT,MACMILLAN CANCER SUPPORT,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b60998
"Advanced Manufacturing, Digital and Technologies","Advanced Manufacturing, Digital and Technologies",Angel Network,Angel Network,Manchester Angels,Manchester Angels,,,693705bdaf9d366325addba2
"Clean Energy Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,Maven Capital partners UK LLP,Maven Capital partners UK LLP,"Pre-Revenue, Early Revenue, Revenue, Growth","Pre-Revenue, Early Revenue, Revenue, Growth",69319c199e24cd0435b6099b
"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,Mercia Asset Management Plc,Mercia Asset Management Plc,"Pre-Revenue, Early Revenue, Revenue, Growth","Pre-Revenue, Early Revenue, Revenue, Growth",69319c199e24cd0435b6099e
"Creative Industries, Digital and Technologies, Defence and Security","Creative Industries, Digital and Technologies, Defence and Security",VC,VC,Mercuri GP LLP,Mercuri GP LLP,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c199e24cd0435b609a1
"Creative Industries, Digital and Technologies","Creative Industries, Digital and Technologies",VC,VC,Metis Ventures,Metis Ventures,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b609a4
,,Angel Network,Angel Network,Mint Ventures,Mint Ventures,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b609a7
Life Sciences,Life Sciences,VC,VC,M:M BIO LIMITED,M:M BIO LIMITED,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b60995
"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,MMC Ventures Limited,MMC Ventures Limited,Revenue,Revenue,69319c199e24cd0435b609aa
"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,M Ventures,M Ventures,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b60992
"Clean Energy Industries, Advanced Manufacturing, Creative Industries","Clean Energy Industries, Advanced Manufacturing, Creative Industries",Not-for-Profit VC,Not-for-Profit VC,Nesta,Nesta,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b609ad
"Clean Energy Industries, Digital and Technologies","Clean Energy Industries, Digital and Technologies",VC,VC,NextEnergy Capital,NextEnergy Capital,,,69319c199e24cd0435b609b0
"Digital and Technologies, Advanced Manufacturing, Life Sciences, Creative Industries","Digital and Technologies, Advanced Manufacturing, Life Sciences, Creative Industries",VC,VC,NoBa Capital,NoBa Capital,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c199e24cd0435b609b3
"Clean Energy Industries, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Life Sciences, Advanced Manufacturing",VC,VC,Norrsken Launcher ,Norrsken Launcher ,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b609b6
"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,Norrsken VC,Norrsken VC,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b609b9
"Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,Northern Gritstone Limited,Northern Gritstone Limited,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b609bc
"Advanced Manufacturing, Clean Energy Industries, Digital and Technologies, Life Sciences","Advanced Manufacturing, Clean Energy Industries, Digital and Technologies, Life Sciences",Angel Network,Angel Network,Northern Investor Hub,Northern Investor Hub,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b609bf
"Clean Energy Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,Northstar Ventures Limited,Northstar Ventures Limited,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b609c2
Life Sciences,Life Sciences,VC,VC,O2H VENTURES,O2H VENTURES,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c199e24cd0435b609c5
"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,Octopus Ventures Limited,Octopus Ventures Limited,"Pre-Revenue, Early Revenue, Revenue, Growth","Pre-Revenue, Early Revenue, Revenue, Growth",69319c199e24cd0435b609c8
"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",Corporate VC,Corporate VC,Old College Capital,Old College Capital,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b609cb
"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Defence and Security, Advanced Manufacturing",VC,VC,ONE PLANET CAPITAL,ONE PLANET CAPITAL,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c199e24cd0435b609ce
"Defence and Security, Digital and Technologies","Defence and Security, Digital and Technologies",VC,VC,Osney Capital,Osney Capital,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c199e24cd0435b609d1
"Advanced Manufacturing, Clean Energy Industries, Digital and Technologies, Life Sciences","Advanced Manufacturing, Clean Energy Industries, Digital and Technologies, Life Sciences",Angel Network,Angel Network,Oxford Investment Opportunity Network Limited (OION),Oxford Investment Opportunity Network Limited (OION),"Pre-Revenue, Early Revenue, Revenue, Growth","Pre-Revenue, Early Revenue, Revenue, Growth",69319c199e24cd0435b609d4
"Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,Oxford Science Enterprises Plc,Oxford Science Enterprises Plc,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b609d7
"Life Sciences, Digital and Technologies, Advanced Manufacturing, Creative Industries, Clean Energy Industries","Life Sciences, Digital and Technologies, Advanced Manufacturing, Creative Industries, Clean Energy Industries",VC,VC,Oxford Technology,Oxford Technology,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c199e24cd0435b609da
"Advanced Manufacturing, Clean Energy Industries","Advanced Manufacturing, Clean Energy Industries",VC,VC,Oyster Bay,Oyster Bay,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b609dd
"Life Sciences, Digital and Technologies, Clean Energy Industries, Advanced Manufacturing","Life Sciences, Digital and Technologies, Clean Energy Industries, Advanced Manufacturing",VC,VC,Paragon Capital,Paragon Capital,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c199e24cd0435b609e3
"Digital and Technologies, Advanced Manufacturing, Life Sciences, Clean Energy Industries","Digital and Technologies, Advanced Manufacturing, Life Sciences, Clean Energy Industries",VC,VC,Par Equity LLP,Par Equity LLP,"Early Revenue, Revenue","Early Revenue, Revenue",69319c199e24cd0435b609e0
"Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Defence and Security, Advanced Manufacturing",Corporate VC,Corporate VC,PDS Ventures,PDS Ventures,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b609e6
"Clean Energy Industries, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Life Sciences, Advanced Manufacturing",VC,VC,Perfect Redd,Perfect Redd,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b609e9
"Clean Energy Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,Pioneer Group,Pioneer Group,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b609ec
"Digital and Technologies, Advanced Manufacturing, Clean Energy Industries, Advanced Manufacturing, Life Sciences, Creative Industries, Financial Services","Digital and Technologies, Advanced Manufacturing, Clean Energy Industries, Advanced Manufacturing, Life Sciences, Creative Industries, Financial Services",VC,VC,Playfair Capital,Playfair Capital,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b609ef
"Clean Energy Industries, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Life Sciences, Advanced Manufacturing",VC,VC,Praesidium S.A.,Praesidium S.A.,"Early Revenue, Revenue, Growth","Early Revenue, Revenue, Growth",69319c199e24cd0435b609f2
"Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",Corporate VC,Corporate VC,Praetura Ventures Limited,Praetura Ventures Limited,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b609f5
"Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",Not-for-Profit VC,Not-for-Profit VC,PROSTATE CANCER RESEARCH,PROSTATE CANCER RESEARCH,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b609f8
"Creative Industries, Digital and Technologies, Advanced Manufacturing","Creative Industries, Digital and Technologies, Advanced Manufacturing",VC (Late-Stage),VC (Late-Stage),Puma Growth Partners,Puma Growth Partners,"Growth, Mature, Exit Ready","Growth, Mature, Exit Ready",69319c199e24cd0435b609fb
"Clean Energy Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,QANTX,QANTX,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b609fe
"Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,QUBIS,QUBIS,Pre-Revenue,Pre-Revenue,69319c199e24cd0435b60a01
"Clean Energy Industries, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Life Sciences, Advanced Manufacturing",VC,VC,Rabo Investments,Rabo Investments,"Early Revenue, Revenue, Growth, Mature","Early Revenue, Revenue, Growth, Mature",69319c199e24cd0435b60a04
"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,Redalpine Venture Partners,Redalpine Venture Partners,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b60a07
"Clean Energy Industries, Digital and Technologies, Advanced Manufacturing","Clean Energy Industries, Digital and Technologies, Advanced Manufacturing",VC,VC,REGENERATE VENTURES,REGENERATE VENTURES,"Pre-Revenue, Revenue","Pre-Revenue, Revenue",69319c199e24cd0435b60a0a
"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,River Capital,River Capital,"Pre-Revenue, Revenue","Pre-Revenue, Revenue",69319c199e24cd0435b60a0d
"Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,Round2 Capital,Round2 Capital,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b60a10
"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC (Late-Stage),VC (Late-Stage),Salica Investments (formerly Hambro Perks),Salica Investments (formerly Hambro Perks),"Early Revenue, Revenue, Growth","Early Revenue, Revenue, Growth",69319c199e24cd0435b60a13
"Advanced Manufacturing, Clean Energy Industries, Digital and Technologies, Life Sciences","Advanced Manufacturing, Clean Energy Industries, Digital and Technologies, Life Sciences",Corporate VC,Corporate VC,Salonica Group,Salonica Group,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",6937052bf10e4626fe32e6bd
Clean Energy Industries,Clean Energy Industries,Family Office,Family Office,Saxovent Smart Eco Investments,Saxovent Smart Eco Investments,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b60a16
"Clean Energy Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",Accelerator / Incubator,Accelerator / Incubator,Science Creates Ventures LLP (now SCVC),Science Creates Ventures LLP (now SCVC),"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c199e24cd0435b60a19
Clean Energy Industries,Clean Energy Industries,Corporate VC,Corporate VC,Scottish National Investment Bank,Scottish National Investment Bank,"Pre-Revenue, Early Revenue, Revenue, Growth, Mature","Pre-Revenue, Early Revenue, Revenue, Growth, Mature",69319c199e24cd0435b60a1c
"Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,Seneca Partners,Seneca Partners,"Pre-Revenue, Early Revenue, Revenue, Growth, Mature","Pre-Revenue, Early Revenue, Revenue, Growth, Mature",69319c199e24cd0435b60a1f
"Life Sciences, Advanced Manufacturing","Life Sciences, Advanced Manufacturing",VC,VC,Senfi Uk,Senfi Uk,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c199e24cd0435b60a22
"Digital and Technologies, Life Sciences, Advanced Manufacturing","Digital and Technologies, Life Sciences, Advanced Manufacturing",Accelerator / Incubator,Accelerator / Incubator,SETsquared,SETsquared,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c199e24cd0435b60a25
"Digital and Technologies, Creative Industries, Advanced Manufacturing, Clean Energy Industries, Life Sciences, Financial Services","Digital and Technologies, Creative Industries, Advanced Manufacturing, Clean Energy Industries, Life Sciences, Financial Services",VC,VC,SFC Capital Ltd,SFC Capital Ltd,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c199e24cd0435b60a28
"Clean Energy Industries, Creative Industries, Defence and Security, Digital and Technologies, Financial Services","Clean Energy Industries, Creative Industries, Defence and Security, Digital and Technologies, Financial Services",VC,VC,Sie Ventures,Sie Ventures,"Pre-Revenue, Revenue","Pre-Revenue, Revenue",69319c199e24cd0435b60a2b
"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,Social Tech Trust,Social Tech Trust,"Early Revenue, Revenue","Early Revenue, Revenue",69319c199e24cd0435b60a2e
"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,SOSV,SOSV,"Early Revenue, Revenue","Early Revenue, Revenue",69319c199e24cd0435b60a31
"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,SPEEDINVEST,SPEEDINVEST,"Early Revenue, Revenue","Early Revenue, Revenue",69319c199e24cd0435b60a34
,,Lender,Lender,SPRK Capital,SPRK Capital,,,69319c199e24cd0435b60a37
"Creative Industries, Life Sciences, Advanced Manufacturing","Creative Industries, Life Sciences, Advanced Manufacturing",VC,VC,Start Codon,Start Codon,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c199e24cd0435b60a3a
"Clean Energy Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,SUPERSEED VENTURES LLP,SUPERSEED VENTURES LLP,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c1a9e24cd0435b60a3d
"Clean Energy Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,SURE VALLEY VENTURES,SURE VALLEY VENTURES,"Early Revenue, Revenue","Early Revenue, Revenue",69319c1a9e24cd0435b60a40
"Digital and Technologies, Financial Services","Digital and Technologies, Financial Services",VC,VC,Sustainable Future Ventures Limited,Sustainable Future Ventures Limited,"Early Revenue, Revenue, Growth","Early Revenue, Revenue, Growth",69319c1a9e24cd0435b60a43
"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,Sustainable Venture Development Partners Ltd,Sustainable Venture Development Partners Ltd,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c1a9e24cd0435b60a46
"Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,SYMVAN CAPITAL LIMITED,SYMVAN CAPITAL LIMITED,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c1a9e24cd0435b60a49
"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,TECHSTART VENTURES,TECHSTART VENTURES,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c1a9e24cd0435b60a4c
"Digital and Technologies, Life Sciences, Advanced Manufacturing","Digital and Technologies, Life Sciences, Advanced Manufacturing",VC,VC,Tern Plc,Tern Plc,"Pre-Revenue, Early Revenue","Pre-Revenue, Early Revenue",69319c1a9e24cd0435b60a4f
"Creative Industries, Digital and Technologies","Creative Industries, Digital and Technologies",Angel Network,Angel Network,The Games Angels,The Games Angels,,,69319c1a9e24cd0435b60a52
Life Sciences,Life Sciences,VC,VC,THENA Capital,THENA Capital,"Pre-Revenue, Early Revenue, Revenue","Pre-Revenue, Early Revenue, Revenue",69319c1a9e24cd0435b60a5b
"Digital and Technologies, Advanced Manufacturing","Digital and Technologies, Advanced Manufacturing",VC,VC,The Resolution Foundation,The Resolution Foundation,"Early Revenue, Revenue","Early Revenue, Revenue",69319c1a9e24cd0435b60a55
"Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Financial Services, Life Sciences, Defence and Security, Advanced Manufacturing",VC,VC,The Yield Lab,The Yield Lab,"Early Revenue, Revenue","Early Revenue, Revenue",69319c1a9e24cd0435b60a58
"Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing","Clean Energy Industries, Creative Industries, Digital and Technologies, Life Sciences, Advanced Manufacturing",Angel Network,Angel Network,Tricapital Angels,Tricapital Angels,"Early Revenue, Revenue","Early Revenue, Revenue",69319c1a9e24cd0435b60a5e
